date,total_pnl,num_trades,avg_size,total_volume,wins,losses,longs,shorts,win_rate,ls_ratio,fg_index,sentiment,sentiment_enc,next_day_pnl,target,pnl_std,vol_bucket
2024-04-08,1218.4267,30,7064.688,211940.64,1.0,0.0,0.0,30.0,0.9999999989999999,0.0,76.0,Extreme Greed,1,0.0,0,3919.633532729391,Low
2024-04-09,0.0,3,19021.280000000002,57063.840000000004,0.0,0.0,0.0,3.0,0.0,0.0,80.0,Extreme Greed,1,5207.443414,1,3971.0299222608073,Low
2024-04-10,5207.443414,41,8578.926097560974,351735.97,36.0,0.0,6.0,35.0,0.9999999999722223,0.1714285714236735,78.0,Extreme Greed,1,389.743164,1,4086.3753304675965,Low
2024-04-11,389.743164,16,4775.06,76400.96,2.0,0.0,16.0,0.0,0.9999999995,15999999999.999998,76.0,Extreme Greed,1,-592.6458390000001,0,4049.4214833778406,Low
2024-04-12,-592.6458390000001,129,3427.0433333333335,442088.59,71.0,30.0,114.0,15.0,0.7029702970227428,7.599999999493333,79.0,Extreme Greed,1,6621.451755,1,1966.4114393080756,Low
2024-04-13,6621.451755,89,5465.294943820225,486411.25,61.0,0.0,63.0,26.0,0.9999999999836067,2.4230769229837277,72.0,Greed,3,-36104.012520000004,0,2868.8075110074133,Low
2024-04-14,-36104.012520000004,107,6160.394112149533,659162.17,33.0,41.0,80.0,27.0,0.44594594593991965,2.9629629628532235,72.0,Greed,3,3774.08872,1,14714.853879773384,Low
2024-04-15,3774.08872,41,7100.272926829269,291111.19,35.0,0.0,27.0,14.0,0.9999999999714286,1.9285714284336735,74.0,Greed,3,2467.702221,1,14877.116513689007,Low
2024-04-16,2467.702221,47,3870.3653191489366,181907.17,43.0,0.0,14.0,31.0,0.9999999999767443,0.4516129032112383,65.0,Greed,3,2441.4683999999997,1,14987.709744386078,Low
2024-04-17,2441.4683999999997,14,6968.785000000001,97562.99,13.0,0.0,0.0,14.0,0.9999999999230769,0.0,67.0,Greed,3,1946.4454620000001,1,14782.463229508521,Low
2024-04-19,1946.4454620000001,35,9635.940571428573,337257.92000000004,27.0,0.0,32.0,3.0,0.999999999962963,10.66666666311111,66.0,Greed,3,0.0,0,14853.501664812233,Low
2024-04-20,0.0,22,2760.601818181818,60733.24,0.0,0.0,0.0,2.0,0.0,0.0,66.0,Greed,3,0.0,0,14869.71374689389,Low
2024-04-22,0.0,9,5332.623333333333,47993.61,0.0,0.0,0.0,9.0,0.0,0.0,73.0,Greed,3,1119.536196,1,14380.986713008639,Low
2024-04-23,1119.536196,66,3531.1348484848486,233054.9,35.0,0.0,37.0,30.0,0.9999999999714286,1.2333333332922223,71.0,Greed,3,279.185907,1,1391.3670018861917,Low
2024-04-24,279.185907,20,7063.762,141275.24,6.0,1.0,20.0,0.0,0.8571428570204082,20000000000.0,72.0,Greed,3,0.0,0,1113.3160305053095,Low
2024-04-25,0.0,74,1624.8785135135136,120241.01,0.0,0.0,6.0,0.0,0.0,6000000000.0,72.0,Greed,3,0.0,0,1024.4616688022293,Low
2024-04-26,0.0,3,1662.7633333333335,4988.290000000001,0.0,0.0,0.0,0.0,0.0,0.0,70.0,Greed,3,4281.488139,1,766.0900415126755,Low
2024-04-27,4281.488139,27,5713.498888888889,154264.47,19.0,0.0,19.0,8.0,0.9999999999473684,2.374999999703125,67.0,Greed,3,0.0,0,1583.93977497352,Low
2024-04-28,0.0,58,758.3724137931034,43985.6,0.0,0.0,0.0,8.0,0.0,0.0,65.0,Greed,3,526.9338359999999,1,1583.93977497352,Low
2024-04-29,526.9338359999999,45,2415.5335555555553,108699.01,17.0,0.0,7.0,24.0,0.9999999999411765,0.2916666666545139,67.0,Greed,3,0.0,0,1551.1294234796103,Low
2024-04-30,0.0,24,5209.114583333333,125018.75,0.0,0.0,24.0,0.0,0.0,24000000000.0,67.0,Greed,3,0.0,0,1580.562430766481,Low
2024-05-01,0.0,14,6216.103571428571,87025.45,0.0,0.0,14.0,0.0,0.0,14000000000.0,54.0,Neutral,4,5306.017045,1,1597.1751683591735,Low
2024-05-03,5306.017045,36,7852.295833333333,282682.64999999997,17.0,2.0,18.0,12.0,0.8947368420581717,1.499999999875,48.0,Neutral,4,0.0,0,2314.7376748778306,Low
2024-05-04,0.0,9,6555.416666666667,58998.75,0.0,0.0,0.0,9.0,0.0,0.0,67.0,Greed,3,0.916,1,2314.7376748778306,Low
2024-05-05,0.916,6,4011.391666666667,24068.350000000002,1.0,0.0,0.0,6.0,0.9999999989999999,0.0,69.0,Greed,3,968.59038,1,1981.9803476371128,Low
2024-05-06,968.59038,9,22890.714444444442,206016.43,4.0,0.0,4.0,5.0,0.99999999975,0.79999999984,71.0,Greed,3,883.537693,1,1947.612001796324,Low
2024-05-07,883.537693,18,6039.865555555556,108717.58,9.0,0.0,5.0,8.0,0.9999999998888889,0.624999999921875,68.0,Greed,3,1.56576,1,1938.6802777319592,Low
2024-05-08,1.56576,13,5074.89,65973.57,1.0,1.0,12.0,1.0,0.49999999975,11.999999987999999,64.0,Greed,3,1147.595856,1,1938.5426974660902,Low
2024-05-09,1147.595856,28,7927.361428571428,221966.12,11.0,0.0,20.0,5.0,0.9999999999090909,3.9999999992,55.0,Greed,3,2101.741695,1,1885.4117474068062,Low
2024-05-10,2101.741695,22,7131.0,156882.0,6.0,0.0,10.0,12.0,0.9999999998333333,0.8333333332638889,66.0,Greed,3,251.604742,1,788.6312464178069,Low
2024-05-11,251.604742,9,7027.661111111111,63248.95,9.0,0.0,9.0,0.0,0.9999999998888889,9000000000.0,53.0,Neutral,4,0.0,0,754.8718457370081,Low
